Infinitive,прополза́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,прополза́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,прополза́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,прополза́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,прополза́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,прополза́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,прополза́ю
2nd Sing,прополза́ешь
3rd Sing,прополза́ет
1st Pl,прополза́ем
2nd Pl,прополза́ете
3rd Pl,прополза́ют
Past M,прополза́л
Past F,прополза́ла
Past N,прополза́ло
Past PL,прополза́ли
Imp S,прополза́й
Imp PL,прополза́йте
