Infinitive,проре́зать
Zaliznyak Class,6a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,проре́завший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,проре́занный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,проре́зав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,проре́завши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,проре́жу
2nd Sing,проре́жешь
3rd Sing,проре́жет
1st Pl,проре́жем
2nd Pl,проре́жете
3rd Pl,проре́жут
Past M,проре́зал
Past F,проре́зала
Past N,проре́зало
Past PL,проре́зали
Imp S,проре́жь
Imp PL,проре́жьте
