Infinitive,проломи́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,проломи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,проло́мленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,проломи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,проломи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,проломлю́
2nd Sing,проло́мишь
3rd Sing,проло́мит
1st Pl,проло́мим
2nd Pl,проло́мите
3rd Pl,проло́мят
Past M,проломи́л
Past F,проломи́ла
Past N,проломи́ло
Past PL,проломи́ли
Imp S,проломи́
Imp PL,проломи́те
