Infinitive,предпочита́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,предпочита́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,предпочита́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,предпочита́емый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,предпочита́я
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,предпочита́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,предпочита́вши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,предпочита́ю
2nd Sing,предпочита́ешь
3rd Sing,предпочита́ет
1st Pl,предпочита́ем
2nd Pl,предпочита́ете
3rd Pl,предпочита́ют
Past M,предпочита́л
Past F,предпочита́ла
Past N,предпочита́ло
Past PL,предпочита́ли
Imp S,предпочита́й
Imp PL,предпочита́йте
