Infinitive,предупрежда́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,предупрежда́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,предупрежда́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,предупрежда́емый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,предупрежда́я
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,предупрежда́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,предупрежда́вши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,предупрежда́ю
2nd Sing,предупрежда́ешь
3rd Sing,предупрежда́ет
1st Pl,предупрежда́ем
2nd Pl,предупрежда́ете
3rd Pl,предупрежда́ют
Past M,предупрежда́л
Past F,предупрежда́ла
Past N,предупрежда́ло
Past PL,предупрежда́ли
Imp S,предупрежда́й
Imp PL,предупрежда́йте
