Infinitive,проследи́ть
Zaliznyak Class,4b⑧
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,проследи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,просле́женный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,проследи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,проследи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,прослежу́
2nd Sing,проследи́шь
3rd Sing,проследи́т
1st Pl,проследи́м
2nd Pl,проследи́те
3rd Pl,проследя́т
Past M,проследи́л
Past F,проследи́ла
Past N,проследи́ло
Past PL,проследи́ли
Imp S,проследи́
Imp PL,проследи́те
