Infinitive,пританцо́вывать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,пританцо́вывающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,пританцо́вывавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пританцо́вывая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,пританцо́вывав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,пританцо́вывавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,пританцо́вываю
2nd Sing,пританцо́вываешь
3rd Sing,пританцо́вывает
1st Pl,пританцо́вываем
2nd Pl,пританцо́вываете
3rd Pl,пританцо́вывают
Past M,пританцо́вывал
Past F,пританцо́вывала
Past N,пританцо́вывало
Past PL,пританцо́вывали
Imp S,пританцо́вывай
Imp PL,пританцо́вывайте
