Infinitive,припасти́
Zaliznyak Class,7b/b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,припа́сший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,припасённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,припа́сши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,припасу́
2nd Sing,припасёшь
3rd Sing,припасёт
1st Pl,припасём
2nd Pl,припасёте
3rd Pl,припасу́т
Past M,припа́с
Past F,припасла́
Past N,припасло́
Past PL,припасли́
Imp S,припаси́
Imp PL,припаси́те
