Infinitive,провали́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,провали́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,провали́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,провалю́сь
2nd Sing,прова́лишься
3rd Sing,прова́лится
1st Pl,прова́лимся
2nd Pl,прова́литесь
3rd Pl,прова́лятся
Past M,провали́лся
Past F,провали́лась
Past N,провали́лось
Past PL,провали́лись
Imp S,провали́сь
Imp PL,провали́тесь
