Infinitive,прошепта́ть
Zaliznyak Class,6c(-ё-)
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,прошепта́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,прошёптанный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,прошепта́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,прошепта́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,прошепчу́
2nd Sing,проше́пчешь
3rd Sing,проше́пчет
1st Pl,проше́пчем
2nd Pl,проше́пчете
3rd Pl,проше́пчут
Past M,прошепта́л
Past F,прошепта́ла
Past N,прошепта́ло
Past PL,прошепта́ли
Imp S,прошепчи́
Imp PL,прошепчи́те
