Infinitive,пригре́ть
Zaliznyak Class,12a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,пригре́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пригре́тый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пригре́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,пригре́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,пригре́ю
2nd Sing,пригре́ешь
3rd Sing,пригре́ет
1st Pl,пригре́ем
2nd Pl,пригре́ете
3rd Pl,пригре́ют
Past M,пригре́л
Past F,пригре́ла
Past N,пригре́ло
Past PL,пригре́ли
Imp S,пригре́й
Imp PL,пригре́йте
