Infinitive,продо́лжиться
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,продо́лжившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,продо́лжившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,продо́лжусь
2nd Sing,продо́лжишься
3rd Sing,продо́лжится
1st Pl,продо́лжимся
2nd Pl,продо́лжитесь
3rd Pl,продо́лжатся
Past M,продо́лжился
Past F,продо́лжилась
Past N,продо́лжилось
Past PL,продо́лжились
Imp S,продо́лжись
Imp PL,продо́лжитесь
