Infinitive,придви́нуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,придви́нувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,придви́нутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,придви́нув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,придви́нувши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,придви́ну
2nd Sing,придви́нешь
3rd Sing,придви́нет
1st Pl,придви́нем
2nd Pl,придви́нете
3rd Pl,придви́нут
Past M,придви́нул
Past F,придви́нула
Past N,придви́нуло
Past PL,придви́нули
Imp S,придви́нь
Imp PL,придви́ньте
