Infinitive,прощу́пать
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,прощу́павший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,прощу́панный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,прощу́пав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,прощу́павши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,прощу́паю
2nd Sing,прощу́паешь
3rd Sing,прощу́пает
1st Pl,прощу́паем
2nd Pl,прощу́паете
3rd Pl,прощу́пают
Past M,прощу́пал
Past F,прощу́пала
Past N,прощу́пало
Past PL,прощу́пали
Imp S,прощу́пай
Imp PL,прощу́пайте
