Infinitive,прерва́ться
Zaliznyak Class,6°b/c''
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,прерва́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,прерва́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,прерву́сь
2nd Sing,прервёшься
3rd Sing,прервётся
1st Pl,прервёмся
2nd Pl,прервётесь
3rd Pl,прерву́тся
Past M,прерва́лся
Past F,прервала́сь
Past N,прервало́сь
Past PL,прервали́сь
Imp S,прерви́сь
Imp PL,прерви́тесь
