Infinitive,припа́сть
Zaliznyak Class,7b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,припа́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,припа́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,припа́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,припаду́
2nd Sing,припадёшь
3rd Sing,припадёт
1st Pl,припадём
2nd Pl,припадёте
3rd Pl,припаду́т
Past M,припа́л
Past F,припа́ла
Past N,припа́ло
Past PL,припа́ли
Imp S,припади́
Imp PL,припади́те
