Infinitive,предста́виться
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,предста́вившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,предста́вившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,предста́влюсь
2nd Sing,предста́вишься
3rd Sing,предста́вится
1st Pl,предста́вимся
2nd Pl,предста́витесь
3rd Pl,предста́вятся
Past M,предста́вился
Past F,предста́вилась
Past N,предста́вилось
Past PL,предста́вились
Imp S,предста́вься
Imp PL,предста́вьтесь
