Infinitive,промелькну́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,промелькну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,промелькну́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,промелькну́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,промелькну́
2nd Sing,промелькнёшь
3rd Sing,промелькнёт
1st Pl,промелькнём
2nd Pl,промелькнёте
3rd Pl,промелькну́т
Past M,промелькну́л
Past F,промелькну́ла
Past N,промелькну́ло
Past PL,промелькну́ли
Imp S,промелькни́
Imp PL,промелькни́те
