Infinitive,прода́ть
Zaliznyak Class,irreg-b/c[①]
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,прода́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,про́данный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,прода́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,прода́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,прода́м
2nd Sing,прода́шь
3rd Sing,прода́ст
1st Pl,продади́м
2nd Pl,продади́те
3rd Pl,продаду́т
Past M,про́дал
Past F,продала́
Past N,про́дало
Past PL,про́дали
Imp S,прода́й
Imp PL,прода́йте
