Infinitive,прегради́ть
Zaliznyak Class,4b(-жд-)
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,прегради́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,преграждённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,прегради́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,прегради́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,прегражу́
2nd Sing,прегради́шь
3rd Sing,прегради́т
1st Pl,прегради́м
2nd Pl,прегради́те
3rd Pl,преградя́т
Past M,прегради́л
Past F,прегради́ла
Past N,прегради́ло
Past PL,прегради́ли
Imp S,прегради́
Imp PL,прегради́те
