Infinitive,прорасти́
Zaliznyak Class,7b/b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,проро́сший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,проро́сши
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,прорасту́
2nd Sing,прорастёшь
3rd Sing,прорастёт
1st Pl,прорастём
2nd Pl,прорастёте
3rd Pl,прорасту́т
Past M,проро́с
Past F,проросла́
Past N,проросло́
Past PL,проросли́
Imp S,прорасти́prorastí
Imp PL,прорасти́те
