Infinitive,проглоти́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,проглоти́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,прогло́ченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,проглоти́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,проглоти́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,проглочу́
2nd Sing,прогло́тишь
3rd Sing,прогло́тит
1st Pl,прогло́тим
2nd Pl,прогло́тите
3rd Pl,прогло́тят
Past M,проглоти́л
Past F,проглоти́ла
Past N,проглоти́ло
Past PL,проглоти́ли
Imp S,проглоти́
Imp PL,проглоти́те
