Infinitive,присни́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,присни́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,присни́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,присню́сь
2nd Sing,присни́шься
3rd Sing,присни́тся
1st Pl,присни́мся
2nd Pl,присни́тесь
3rd Pl,присня́тся
Past M,присни́лся
Past F,присни́лась
Past N,присни́лось
Past PL,присни́лись
Imp S,присни́сь
Imp PL,присни́тесь
