Infinitive,привста́ть
Zaliznyak Class,15a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,привста́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,привста́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,привста́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,привста́ну
2nd Sing,привста́нешь
3rd Sing,привста́нет
1st Pl,привста́нем
2nd Pl,привста́нете
3rd Pl,привста́нут
Past M,привста́л
Past F,привста́ла
Past N,привста́ло
Past PL,привста́ли
Imp S,привста́нь
Imp PL,привста́ньте
