Infinitive,прокрича́ть
Zaliznyak Class,5b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,прокрича́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,прокрича́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,прокрича́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,прокричу́
2nd Sing,прокричи́шь
3rd Sing,прокричи́т
1st Pl,прокричи́м
2nd Pl,прокричи́те
3rd Pl,прокрича́т
Past M,прокрича́л
Past F,прокрича́ла
Past N,прокрича́ло
Past PL,прокрича́ли
Imp S,прокричи́
Imp PL,прокричи́те
