Infinitive,прийти́сь
Zaliznyak Class,irreg-b/b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,прише́дшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,прише́дшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,приду́сь
2nd Sing,придёшься
3rd Sing,придётся
1st Pl,придёмся
2nd Pl,придётесь
3rd Pl,приду́тся
Past M,пришёлся
Past F,пришла́сь
Past N,пришло́сь
Past PL,пришли́сь
Imp S,приди́сь
Imp PL,приди́тесь
