Infinitive,приви́деться
Zaliznyak Class,5a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,приви́девшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,приви́девшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,приви́жусь
2nd Sing,приви́дишься
3rd Sing,приви́дится
1st Pl,приви́димся
2nd Pl,приви́дитесь
3rd Pl,приви́дятся
Past M,приви́делся
Past F,приви́делась
Past N,приви́делось
Past PL,приви́делись
Imp S,—
Imp PL,—
