Infinitive,приручи́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,приручи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,приручённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,приручи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,приручи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,приручу́
2nd Sing,приручи́шь
3rd Sing,приручи́т
1st Pl,приручи́м
2nd Pl,приручи́те
3rd Pl,прируча́т
Past M,приручи́л
Past F,приручи́ла
Past N,приручи́ло
Past PL,приручи́ли
Imp S,приручи́
Imp PL,приручи́те
