Infinitive,прозяба́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,прозяба́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,прозяба́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,прозяба́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,прозяба́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,прозяба́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,прозяба́ю
2nd Sing,прозяба́ешь
3rd Sing,прозяба́ет
1st Pl,прозяба́ем
2nd Pl,прозяба́ете
3rd Pl,прозяба́ют
Past M,прозяба́л
Past F,прозяба́ла
Past N,прозяба́ло
Past PL,прозяба́ли
Imp S,прозяба́й
Imp PL,прозяба́йте
