Infinitive,присла́ть
Zaliznyak Class,6b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,присла́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,при́сланный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,присла́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,присла́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,пришлю́
2nd Sing,пришлёшь
3rd Sing,пришлёт
1st Pl,пришлём
2nd Pl,пришлёте
3rd Pl,пришлю́т
Past M,присла́л
Past F,присла́ла
Past N,присла́ло
Past PL,присла́ли
Imp S,пришли́
Imp PL,пришли́те
