Infinitive,пры́снуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,пры́снувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пры́снутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пры́снув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,пры́снувши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,пры́сну
2nd Sing,пры́снешь
3rd Sing,пры́снет
1st Pl,пры́снем
2nd Pl,пры́снете
3rd Pl,пры́снут
Past M,пры́снул
Past F,пры́снула
Past N,пры́снуло
Past PL,пры́снули
Imp S,пры́сни
Imp PL,пры́сните
