Infinitive,простона́ть
Zaliznyak Class,6°c
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,простона́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,простона́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,простона́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,простону́
2nd Sing,просто́нешь
3rd Sing,просто́нет
1st Pl,просто́нем
2nd Pl,просто́нете
3rd Pl,просто́нут
Past M,простона́л
Past F,простона́ла
Past N,простона́ло
Past PL,простона́ли
Imp S,простони́
Imp PL,простони́те
