Infinitive,прие́хать
Zaliznyak Class,irreg-a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,прие́хавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,прие́хав
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,прие́хавши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,прие́ду
2nd Sing,прие́дешь
3rd Sing,прие́дет
1st Pl,прие́дем
2nd Pl,прие́дете
3rd Pl,прие́дут
Past M,прие́хал
Past F,прие́хала
Past N,прие́хало
Past PL,прие́хали
Imp S,приезжа́й
Imp PL,приезжа́йте
