Infinitive,примча́ться
Zaliznyak Class,5b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,примча́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,примча́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,примчу́сь
2nd Sing,примчи́шься
3rd Sing,примчи́тся
1st Pl,примчи́мся
2nd Pl,примчи́тесь
3rd Pl,примча́тся
Past M,примча́лся
Past F,примча́лась
Past N,примча́лось
Past PL,примча́лись
Imp S,примчи́сь
Imp PL,примчи́тесь
