Infinitive,приткну́ться
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,приткну́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,приткну́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,приткну́сь
2nd Sing,приткнёшься
3rd Sing,приткнётся
1st Pl,приткнёмся
2nd Pl,приткнётесь
3rd Pl,приткну́тся
Past M,приткну́лся
Past F,приткну́лась
Past N,приткну́лось
Past PL,приткну́лись
Imp S,приткни́сь
Imp PL,приткни́тесь
