Infinitive,предназнача́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,предназнача́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,предназнача́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,предназнача́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,предназнача́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,предназнача́юсь
2nd Sing,предназнача́ешься
3rd Sing,предназнача́ется
1st Pl,предназнача́емся
2nd Pl,предназнача́етесь
3rd Pl,предназнача́ются
Past M,предназнача́лся
Past F,предназнача́лась
Past N,предназнача́лось
Past PL,предназнача́лись
Imp S,предназнача́йся
Imp PL,предназнача́йтесь
