Infinitive,пробуди́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,пробуди́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пробу́женный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пробуди́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,пробуди́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,пробужу́
2nd Sing,пробу́дишь
3rd Sing,пробу́дит
1st Pl,пробу́дим
2nd Pl,пробу́дите
3rd Pl,пробу́дят
Past M,пробуди́л
Past F,пробуди́ла
Past N,пробуди́ло
Past PL,пробуди́ли
Imp S,пробуди́
Imp PL,пробуди́те
