Infinitive,пропита́ться
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,пропита́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пропита́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,пропита́юсь
2nd Sing,пропита́ешься
3rd Sing,пропита́ется
1st Pl,пропита́емся
2nd Pl,пропита́етесь
3rd Pl,пропита́ются
Past M,пропита́лся
Past F,пропита́лась
Past N,пропита́лось
Past PL,пропита́лись
Imp S,пропита́йся
Imp PL,пропита́йтесь
