Infinitive,прикипе́ть
Zaliznyak Class,5b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,прикипе́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,прикипе́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,прикипе́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,прикиплю́
2nd Sing,прикипи́шь
3rd Sing,прикипи́т
1st Pl,прикипи́м
2nd Pl,прикипи́те
3rd Pl,прикипя́т
Past M,прикипе́л
Past F,прикипе́ла
Past N,прикипе́ло
Past PL,прикипе́ли
Imp S,прикипи́
Imp PL,прикипи́те
