Infinitive,приложи́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,приложи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,прило́женный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,приложи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,приложи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,приложу́
2nd Sing,прило́жишь
3rd Sing,прило́жит
1st Pl,прило́жим
2nd Pl,прило́жите
3rd Pl,прило́жат
Past M,приложи́л
Past F,приложи́ла
Past N,приложи́ло
Past PL,приложи́ли
Imp S,приложи́
Imp PL,приложи́те
