Infinitive,прикаса́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,прикаса́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,прикаса́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,прикаса́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,прикаса́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,прикаса́юсь
2nd Sing,прикаса́ешься
3rd Sing,прикаса́ется
1st Pl,прикаса́емся
2nd Pl,прикаса́етесь
3rd Pl,прикаса́ются
Past M,прикаса́лся
Past F,прикаса́лась
Past N,прикаса́лось
Past PL,прикаса́лись
Imp S,прикаса́йся
Imp PL,прикаса́йтесь
