Infinitive,прослу́шать
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,прослу́шавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,прослу́шанный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,прослу́шав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,прослу́шавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,прослу́шаю
2nd Sing,прослу́шаешь
3rd Sing,прослу́шает
1st Pl,прослу́шаем
2nd Pl,прослу́шаете
3rd Pl,прослу́шают
Past M,прослу́шал
Past F,прослу́шала
Past N,прослу́шало
Past PL,прослу́шали
Imp S,прослу́шай
Imp PL,прослу́шайте
