Infinitive,припе́чь
Zaliznyak Class,8b/b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,припёкший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,припечённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,припёкши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,припеку́
2nd Sing,припечёшь
3rd Sing,припечёт
1st Pl,припечём
2nd Pl,припечёте
3rd Pl,припеку́т
Past M,припёк
Past F,припекла́
Past N,припекло́
Past PL,припекли́
Imp S,припеки́
Imp PL,припеки́те
