Infinitive,придава́ться
Zaliznyak Class,13b
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,придаю́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,придава́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,придава́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,придава́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,придаю́сь
2nd Sing,придаёшься
3rd Sing,придаётся
1st Pl,придаёмся
2nd Pl,придаётесь
3rd Pl,придаю́тся
Past M,придава́лся
Past F,придава́лась
Past N,придава́лось
Past PL,придава́лись
Imp S,придава́йся
Imp PL,придава́йтесь
