Infinitive,прокорми́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,прокорми́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,проко́рмленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,прокорми́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,прокорми́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,прокормлю́
2nd Sing,проко́рмишь
3rd Sing,проко́рмит
1st Pl,проко́рмим
2nd Pl,проко́рмите
3rd Pl,проко́рмят
Past M,прокорми́л
Past F,прокорми́ла
Past N,прокорми́ло
Past PL,прокорми́ли
Imp S,прокорми́
Imp PL,прокорми́те
