Infinitive,прогу́ливаться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,прогу́ливающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,прогу́ливавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,прогу́ливаясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,прогу́ливавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,прогу́ливаюсь
2nd Sing,прогу́ливаешься
3rd Sing,прогу́ливается
1st Pl,прогу́ливаемся
2nd Pl,прогу́ливаетесь
3rd Pl,прогу́ливаются
Past M,прогу́ливался
Past F,прогу́ливалась
Past N,прогу́ливалось
Past PL,прогу́ливались
Imp S,прогу́ливайся
Imp PL,прогу́ливайтесь
