Infinitive,проверя́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,проверя́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,проверя́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,проверя́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,проверя́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,проверя́юсь
2nd Sing,проверя́ешься
3rd Sing,проверя́ется
1st Pl,проверя́емся
2nd Pl,проверя́етесь
3rd Pl,проверя́ются
Past M,проверя́лся
Past F,проверя́лась
Past N,проверя́лось
Past PL,проверя́лись
Imp S,проверя́йся
Imp PL,проверя́йтесь
