Infinitive,проигра́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,проигра́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,прои́гранный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,проигра́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,проигра́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,проигра́ю
2nd Sing,проигра́ешь
3rd Sing,проигра́ет
1st Pl,проигра́ем
2nd Pl,проигра́ете
3rd Pl,проигра́ют
Past M,проигра́л
Past F,проигра́ла
Past N,проигра́ло
Past PL,проигра́ли
Imp S,проигра́й
Imp PL,проигра́йте
