Infinitive,продержа́ть
Zaliznyak Class,5c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,продержа́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,проде́ржанный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,продержа́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,продержа́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,продержу́
2nd Sing,проде́ржишь
3rd Sing,проде́ржит
1st Pl,проде́ржим
2nd Pl,проде́ржите
3rd Pl,проде́ржат
Past M,продержа́л
Past F,продержа́ла
Past N,продержа́ло
Past PL,продержа́ли
Imp S,продержи́
Imp PL,продержи́те
