Infinitive,прописа́ть
Zaliznyak Class,6c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,прописа́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пропи́санный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,прописа́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,прописа́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,пропишу́
2nd Sing,пропи́шешь
3rd Sing,пропи́шет
1st Pl,пропи́шем
2nd Pl,пропи́шете
3rd Pl,пропи́шут
Past M,прописа́л
Past F,прописа́ла
Past N,прописа́ло
Past PL,прописа́ли
Imp S,пропиши́
Imp PL,пропиши́те
