Infinitive,пригорю́ниться
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,пригорю́нившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пригорю́нившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,пригорю́нюсь
2nd Sing,пригорю́нишься
3rd Sing,пригорю́нится
1st Pl,пригорю́нимся
2nd Pl,пригорю́нитесь
3rd Pl,пригорю́нятся
Past M,пригорю́нился
Past F,пригорю́нилась
Past N,пригорю́нилось
Past PL,пригорю́нились
Imp S,пригорю́нься
Imp PL,пригорю́ньтесь
