Infinitive,промочи́ть
Zaliznyak Class,4c④
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,промочи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,промо́ченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,промочи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,промочи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,промочу́
2nd Sing,промо́чишь
3rd Sing,промо́чит
1st Pl,промо́чим
2nd Pl,промо́чите
3rd Pl,промо́чат
Past M,промочи́л
Past F,промочи́ла
Past N,промочи́ло
Past PL,промочи́ли
Imp S,промочи́
Imp PL,промочи́те
