Infinitive,просу́нуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,просу́нувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,просу́нутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,просу́нув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,просу́нувши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,просу́ну
2nd Sing,просу́нешь
3rd Sing,просу́нет
1st Pl,просу́нем
2nd Pl,просу́нете
3rd Pl,просу́нут
Past M,просу́нул
Past F,просу́нула
Past N,просу́нуло
Past PL,просу́нули
Imp S,просу́нь
Imp PL,просу́ньте
