Infinitive,принима́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,принима́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,принима́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,принима́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,принима́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,принима́юсь
2nd Sing,принима́ешься
3rd Sing,принима́ется
1st Pl,принима́емся
2nd Pl,принима́етесь
3rd Pl,принима́ются
Past M,принима́лся
Past F,принима́лась
Past N,принима́лось
Past PL,принима́лись
Imp S,принима́йся
Imp PL,принима́йтесь
