Infinitive,прове́рить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,прове́ривший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,прове́ренный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,прове́рив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,прове́ривши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,прове́рю
2nd Sing,прове́ришь
3rd Sing,прове́рит
1st Pl,прове́рим
2nd Pl,прове́рите
3rd Pl,прове́рят
Past M,прове́рил
Past F,прове́рила
Past N,прове́рило
Past PL,прове́рили
Imp S,прове́рь
Imp PL,прове́рьте
