Infinitive,прокати́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,прокати́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,прокати́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,прокачу́сь
2nd Sing,прока́тишься
3rd Sing,прока́тится
1st Pl,прока́тимся
2nd Pl,прока́титесь
3rd Pl,прока́тятся
Past M,прокати́лся
Past F,прокати́лась
Past N,прокати́лось
Past PL,прокати́лись
Imp S,прокати́сь
Imp PL,прокати́тесь
