Infinitive,прокру́чивать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,прокру́чивающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,прокру́чивавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,прокру́чиваемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,прокру́чивая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,прокру́чивав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,прокру́чивавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,прокру́чиваю
2nd Sing,прокру́чиваешь
3rd Sing,прокру́чивает
1st Pl,прокру́чиваем
2nd Pl,прокру́чиваете
3rd Pl,прокру́чивают
Past M,прокру́чивал
Past F,прокру́чивала
Past N,прокру́чивало
Past PL,прокру́чивали
Imp S,прокру́чивай
Imp PL,прокру́чивайте
