Infinitive,присмотре́ться
Zaliznyak Class,5c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,присмотре́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,присмотре́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,присмотрю́сь
2nd Sing,присмо́тришься
3rd Sing,присмо́трится
1st Pl,присмо́тримся
2nd Pl,присмо́тритесь
3rd Pl,присмо́трятся
Past M,присмотре́лся
Past F,присмотре́лась
Past N,присмотре́лось
Past PL,присмотре́лись
Imp S,присмотри́сь
Imp PL,присмотри́тесь
