Infinitive,прове́трить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,прове́тривший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,прове́тренный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,прове́трив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,прове́тривши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,прове́трю
2nd Sing,прове́тришь
3rd Sing,прове́трит
1st Pl,прове́трим
2nd Pl,прове́трите
3rd Pl,прове́трят
Past M,прове́трил
Past F,прове́трила
Past N,прове́трило
Past PL,прове́трили
Imp S,прове́три
Imp PL,прове́трите
