Infinitive,примени́ть
Zaliznyak Class,4c⑦
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,примени́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,применённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,примени́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,примени́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,применю́
2nd Sing,приме́нишь
3rd Sing,приме́нит
1st Pl,приме́ним
2nd Pl,приме́ните
3rd Pl,приме́нят
Past M,примени́л
Past F,примени́ла
Past N,примени́ло
Past PL,примени́ли
Imp S,примени́
Imp PL,примени́те
