Infinitive,пробормота́ть
Zaliznyak Class,6c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,пробормота́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пробормо́танный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пробормота́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,пробормота́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,пробормочу́
2nd Sing,пробормо́чешь
3rd Sing,пробормо́чет
1st Pl,пробормо́чем
2nd Pl,пробормо́чете
3rd Pl,пробормо́чут
Past M,пробормота́л
Past F,пробормота́ла
Past N,пробормота́ло
Past PL,пробормота́ли
Imp S,пробормочи́
Imp PL,пробормочи́те
