Infinitive,пришпи́лить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,пришпи́ливший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пришпи́ленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пришпи́лив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,пришпи́ливши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,пришпи́лю
2nd Sing,пришпи́лишь
3rd Sing,пришпи́лит
1st Pl,пришпи́лим
2nd Pl,пришпи́лите
3rd Pl,пришпи́лят
Past M,пришпи́лил
Past F,пришпи́лила
Past N,пришпи́лило
Past PL,пришпи́лили
Imp S,пришпи́ль
Imp PL,пришпи́льте
