Infinitive,приса́живаться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,приса́живающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,приса́живавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,приса́живаясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,приса́живавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,приса́живаюсь
2nd Sing,приса́живаешься
3rd Sing,приса́живается
1st Pl,приса́живаемся
2nd Pl,приса́живаетесь
3rd Pl,приса́живаются
Past M,приса́живался
Past F,приса́живалась
Past N,приса́живалось
Past PL,приса́живались
Imp S,приса́живайся
Imp PL,приса́живайтесь
