Infinitive,приостанови́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,приостанови́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,приостанови́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,приостановлю́сь
2nd Sing,приостано́вишься
3rd Sing,приостано́вится
1st Pl,приостано́вимся
2nd Pl,приостано́витесь
3rd Pl,приостано́вятся
Past M,приостанови́лся
Past F,приостанови́лась
Past N,приостанови́лось
Past PL,приостанови́лись
Imp S,приостанови́сь
Imp PL,приостанови́тесь
